author,comment
@pokeboy2254,It was so funny people we chanting messi messi but then ronaldo took two shots for shut them up hahaha
@aborazaqalshmry259,🐐🤍
@RohitPanda08,Siuu7uuu
@Andritany1908Andri-dj5yq,Next musim... Back to eropa
@tentangmusik2957,"second goal ronaldo like first goal marselino ferdinan vs arab, they are same people"
@ThisisForester,serasa dia main pake jersey Madrid.. alhamdulillah terobati kangen..
@BAZA888-m6v,
@baperistachannel7923,🎉🎉🎉🎉🎉🇮🇩🇮🇩🇮🇩
@ygwrn955,Messi Goat!!
@jitubhaiya7234,Al nassr without talisca plays better
@kumisispaketov3654,in that kit cr7 looks different
@NazrilRiyan,Ronaldo kembali ke mode rambut ganteng
@Ramos-b3f,Sadio mane 😢
@lena00071,Siiiiiuuuuuu🔥🔥🔥🔥🙌🤩🫶🏻🌍
@FCHienKhoOfficial392,Ronaldo❤❤❤
@DineshDhami-gn7ju,Suiii ❤❤❤
@hichambasaa2422,والله ما عندو رونالدو !
@jayz-holm,siuuuuuuuuuu
@sigitwibowo13b63,Cr7 masih strecing
@Марк-щ1д,👍
@كورةنيوز-ظ2ث,خشي ياغالي راك اسطوره نمبر 1 لقد أرهقت كاتب التاريخ يا رونالدو  انت التاريخ نفسه ❤️💥💪
@lazybones8848,Suiiii
@dipankarbiswas8311,I Love you Boss RONALDO 7 🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹💝💝💝💝💝💝💝💝💝💝💝💝😍😍😍😍😍😍😍😘😘😘😘😘🙏🙏🙏
@MEMORIBOLATIMNAS,SEMAKIN GANTENG SAJA CRISTIANO RONALDO 🔥
@Joker92658,Congratss Alnassr From India🇮🇳❤️Love You Goat CR7 Siuuuuu Forever❤️
@Joker92658,Real Goat For reason ❤️Siuuuuuuu
@marie-helenefoucault8265,"Que grande este CR7, famoso❤❤❤"
@abhisheksingh-dg2vp,Cristiano Ronaldo the greatest ever in everything fact 👑🐐🙌🏻.
@QuantityEfootball,The Shirt giving Prime Ronaldo🥺🐐...Prime Nalo would've scored like 7 though
@davidoliever692,Cristiano is the definition of football
@sanjoklimbu5748,Ronaldo forever ❤❤❤
@MMahid-fp6ig,cry baby
,Absolutely the best 🎉❤
@SLICK_75,BRILLIANT! HE SCORED 913 GOALS
,Impressive performance 🎉❤.
@thomasvoo4609,Mane wasted here.
@ZayneMwangi,Cr7 is the goat I  need to dribble live you  Ronaldo
@Valentine_Limba,The 1000 goal aim is starting to take shape. I really doubted it because of his age
@blood_ackerman6190,Blue lock banner style
@fighterangel9233,"His face look like more to ego face after score.. But end the end.. What he did? Nothing.. Until now zero trophy.. If not scoring.. Ask for penalty.. Blame his teammate, blame reff, wrestling another player.. Keep going your goal without trophy.. What a selfish player I ever seen.."
@ReWhiteout,"Pure white shirt with golden lining.. yeah, it brings back the memories."
@muminhussein7604,"What if Ronaldo would have scored those first 3 misses 😮
He would have 5 goals"
@YadavJii-pt2sx,"At the age of 40 and still having the hunger of scoring goals despite being the *GREATEST EVER OF THIS GAME* seriously!!! 

This guy is the GOAT💯🖤"
@bastian24-ko8yg,"Where is trophy ????
Whre ... Where ... !! 😂😂😂😂"
@9oted,❤only for indian
@mrHaland-yb4wv,King 👑 CR7 ก็คือราชาของฟุตบอลโน.#1❤🎉
@abohnoah3814,Wow jerser  y kaya real madrid keren
@daudikombe,Messi fans why are you not talking about Messi's team religation 😂
@mrHaland-yb4wv,😮 siuuuuuuuu 😊❤🎉🎉🎉🎉🎉
@nadirbouba77,Quelle but de cr7 ces un phénomène ce cr7
@mohammadhadi9018,"I am a big fan of CR7 , I am looking now to find CR7 Real Madrid, juventus, and MU gersey 😅"
@jakadermawan5050,nanti final alnasr ketemu persib
@ШамсидинБоронов-з1ш,RONALDO 👍👍👍👏👏👏🥇🥇🥇🏆🏆🏆
@zammybee,Angelo gabriel ❤
@GilaBola-t1k,❤❤❤❤🎉
@bacainceritahoror,Yang suka horor merapat. Film petak umpet udah tayang di kita
@tinowhite4515,THE GOAT !!!!
@g.krubiscube5138,I love ronaldo very much❤❤❤❤❤
@ifakaisaac382,That's the real goat ❤❤❤
@FerdinandTerumbu,Angelo is the real MVP 🗿
@asqarr_malik,Nostalgia❤️‍🔥
@misterdodsondodson,Esse Ângelo veio de onde?????
@LizNoiree,"Idk if it just me, but does some member in the team does not like CR? I am not sure, just the vibe I am getting . I may be wrong"
@wanderthirst258,Ronaldo in White kit 👻
@МобаГерои,Верните Роналду в Реал
@cindycoutinho1184,World Class No.1 Football Player ⚽️ CR7 ❤.  Wooooooow so High You Fly... Amazing to watch You CR7❤... Our Football Legend Forever CR7 ❤... Keep Shinning Ronaldo❤. You are the Greatest of All CR7 ❤.... ❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@alieextradafamily5352,Aduhai Angelo gokksss
@nikadstati9593,Again and again CR7 !
@AbdulazeezAbdulrahmon-q6f,Ronaldo is fast and reliable ❤❤🎉🎉
@Aliham06,Ronaldo dropping defenders at 39😂
@_iflowin_yt8173,SIUUUUUUUUU CR7❤❤❤
@johnkoi8998,CR7 sekarang wajahnya begitu cerah... dia semakin terlihat bahagia... bravo CR7
@QurbanAli-l3y,He is the Goat nobody can replace him❤‍🔥❤‍🔥❤‍🔥
@fahimajannatfiza,Suiiii
@goatnaldo_23,GOAT
@Paulofficial2002,Unbelievable
@anushrajapaksha5098,"Angelo is a quality player, Brazil should look at players like these over the superstar names for the future tournaments"
@lungazwide1829,Three great goals
@Singh.gaganajit,Thanks for 39 subscribers ❤
@adamcs2770,C.RONALDO >>>> GOAT
@Potatorules,AFC is starting to be normal champions league cuz all the europeans are moving to saudi 😂😂
@stephenmadappally,Ronaldo💛🤗💪
@htcsniper9155,RONALDO menoak Tua
@NotStoneeOfficial,The white kit is reminding me something 😭❤️
@EKANGFAUZI-d9i,Jam xlq bee
@amarsaikhannasan6685,WoooooooW Siuuuuuuu CR7good🏆🏆🏆🏆🏆🏆🏆🇵🇹🇲🇳👍💪👌👏
@ОльгертДзерве,Круто!!!
@RudyJames,Ronaldo brought Europe with him
@awtaridawtar3271,😊😊
@pakguyuofficial2933,Cristiano🎉🎉🎉
@chemistasheq,Siuuu
@Shahzanfx,Ronaldo scoring on champions league nights is inevitable
@AyaanKhan-r3r,CR7 All my favourite ❤❤
@kucingmeong18,Siuuuuu
@jojo5355,The 🐐
@HammedAtanda-zi5mq,C R 7 💯
@CHRISGladden-t6z,g
@JOHNATHANMontanez-z3v,23
@PATRaymond-i6d,5
@AlbaCummings,5
@LONDinh-h7g,"I finally got to see the GOAT CR7 in the white shirt again, what a nostalgia 🔥 I had him to score on Stake and he already did after 46min, this guy still knows how to score. I am so happy I got to live in the period of Ronaldo and Messi in my opinion the TWO GOATS of football, not only one goat but two, end of discussion."
@RUSSELArgueta,g
@KingJonah-q3n,I love Ronaldo very much
@ippangivan3990,Angelo nice skil👍cr7🔥
@HERMANHickman-b1d,5
@ELLSWORTHGalbraith,g
@JewellGoble,23
@RAYFORDTavarez,4
@WADEHarrison-e1g,g
@MucellaEsra,23
@AlganierJalilul-z6m,Cr7 is the king of football
@PaigeLy-t6f,4
@TorieKirkwood,4
@DonaldJBiden-f6h,Al Giraffe 1 Al Capone 3.
@heyy8395,Cristiano Ronaldo the goat suiii 🇵🇹🐐
@Kenzuru7,ronaldo vs joselu
@subhasisroy5680,Ronaldo look 🔥🔥🔥
@darrylng1687,My goat is so happy 🥺
@Jahanzaib-y6g,E
@johanneshuber2000,This YouTuber might have a career in football in the future
@rajibsaputra6660,"Its so clean, the stadium and the broadcast"
@v.thakurfootball24k21,counting....counting and counting...until its 1000+
@AshikMiya-cr8kd,❤❤❤❤❤❤❤❤❤❤❤
@07naturelover,Siuuuuuu 🐐💪🇧🇩🫶🇧🇩
@JIdaiko,GOAT
@saykatkarmaker4348,❤❤❤CR7
@baperaspot-ih2xs,Angelo like di maria
@joseenguru1796,Da goat 🐐 CR7 doing his things as usual.
@bhabhawise8801,Wow CR7
@TheRealdeal1659,Angelo should be playing in Europe
@bryandanteruiz7876,We sold Angelo for madueke
@swarajbera,The GOAT 🐐
@ricardoo7haha,"2:14 Cristiano  (46’)
2:41 Angelo     (64’)
3:05 Cristiano (58’)"
@DeepakKumar-ou7cd,Cr7 ❤
@munjiric,2:51 look pendu falling inside the penalty box like a fool. Pendu would have got a penalty for no reason😂
@FootballO850,KSI❌ KSA✅
@IsmayilAhmedov-h5h,C.Ronaldo ən güclü futbolçudur hətta hər hansısa bir oyunda qol vura bilməsə belə yenə də onun bu yaşında meydanda etdikləri təqdirə layiqdir.....❤❤❤❤👍👍👍👍
@RoadTripperrr,"Ronaldo is great, but the quality of this football is like women's league. Laughable if he counts these goals getting to 1000"
@JanusJohannes,Age is Just A Number to Cr7...and he makes the league  look easy or scoring of goals a walk in a park...He was born to score goals...The MACHINE!!!
@reconek6990,"Mbappe please 😅,,"
